Sequencial; Receitas; Despesas
130000000179; 29994.75; 29994.75
50000000863; Sem lancamento; -
190000002082; 3052.5; 3052.5
200000000074; 1724; 1724
90000000090; 55054.02; 55046.82
50000000113; 293514.6; 293054.65
60000000912; Sem lancamento; -
250000002401; 60367.61; 60367.61
130000001440; 300; 300
10000000470; 170106.71; 170106.71
60000000414; 17520.75; 17532.4
200000000341; 26243; 26019.32
100000000006; 1045; 1045
50000000982; Sem lancamento; 2975
50000000134; 474633.13; 474633.13
250000002917; 2055; 2055
70000000407; Sem prestacao; Sem prestacao
150000000110; 15329.46; 15329.46
270000000142; 3800; 3800
160000000396; Sem lancamento; -
50000000114; 134155.1; 134155.1
80000000708; Sem lancamento; -
250000002737; 45527.64; 45526.07
250000002909; 733; 733
250000001556; 78115.19; 78115.19
160000000487; 8884.63; 8699.49
190000001217; 1560; 1560
200000000073; 41609; 22164
10000000095; 5315; 5315
250000003294; 40004.5; 40002.19
240000000029; Sem prestacao; Sem prestacao
250000002331; 1061.71; 1061.71
270000000292; 1245720.14; 1245720.14
230000000398; 3494.51; 3494.51
190000001272; 3465; 3465
240000000258; 590700; 590224.49
240000000297; 200; 200
250000001864; 1015.34; 1015.34
40000000723; 1520; 1520
210000000913; Sem lancamento; -
130000001855; 2796.07; 2796.07
70000000045; Sem prestacao; Sem prestacao
100000000690; 6449.98; 6449.98
30000000245; Sem lancamento; -
250000003508; 4740; 4740
100000000649; 5789.1; 5789.1
180000000052; 1724; 1724
60000000913; Sem lancamento; -
250000002129; 22136.88; 22136.88
50000000675; Sem lancamento; -
250000003521; 1095.45; 1095.45
250000002632; 1230; 1230
160000001176; Sem lancamento; -
40000000273; 6237.5; 6227.7
190000000539; 65458.83; 65458.83
250000003421; Sem lancamento; -
190000001384; 5095; 5095
170000000709; Sem lancamento; -
80000000018; 300502.47; 300502.47
100000000809; 12638.33; 12471.73
60000000755; 1500; 1499.2
170000000519; 68580; 68580
160000000506; Sem lancamento; -
20000000375; 305852.66; 305852.66
80000000540; 11710.01; 11675.37
30000000494; 4150; 4024.6
90000001290; Sem lancamento; -
270000000201; Sem lancamento; -
190000002629; 1701.5; 1701.5
160000001339; 799.4; 786.4
190000000027; 3499543.01; 3499543.01
250000000879; 3010.66; 3010.66
30000000236; 1345; 1345
250000001156; 106870.65; 106310.24
250000002077; 3733.89; 3733.89
250000002455; 6578.75; 6578.75
260000000127; 163848.36; 163848.36
110000000216; 3050; 3000
110000000547; 1600; 1600
130000000784; Sem lancamento; -
250000002520; 5728.75; 5728.75
130000001604; 20917.57; 20917.57
60000000775; 155253; 155239.03
140000000235; 2857.53; 2857.53
250000000970; Sem prestacao; Sem prestacao
250000001835; 600; 600
130000001712; Sem lancamento; -
20000000378; 3875.08; 3875.08
190000003232; Sem lancamento; -
220000000413; Sem lancamento; -
80000000500; 13920; 13824.53
260000000232; 195219.59; 195219.59
70000000528; 41755.29; 41755.29
250000000262; 1812.4; 1812.4
130000000588; 600; 600
190000000737; Sem lancamento; -
190000003292; 6401.66; 6400.06
90000001202; Sem lancamento; -
140000000427; 154859.36; 154859.36
120000000166; 14750; 14750
110000000208; 18428.48; 18428.48
70000000143; 4740; 4740
240000000754; 205.13; 205.13
110000000093; 140796.38; 140805.32
90000000857; 22103.45; 22103.45
190000000282; 1387.5; 1387.5
80000000415; 105350.09; 105350.09
150000000247; 3865.99; 3865.99
130000001299; 1300; 1300
70000000950; 66588.66; 66588.66
100000000061; 1500; 1500
190000002012; 36052.5; 36052.5
160000001116; 77670; 77670
190000001110; 4223; 4223
190000001102; 8891.66; 12037.57
250000001396; 28628.94; 28628.94
60000000949; Sem lancamento; -
70000000652; 1770; 770
250000002309; 1985.18; 1985.18
190000001819; Sem lancamento; -
190000002185; Sem lancamento; -
170000000671; Sem lancamento; -
220000000128; 36840; 36795.98
250000002790; 141805; 141690.68
270000000541; 2293; 2260
210000000557; 8550; 8550
210000001044; 77720; 77720
60000000609; Sem lancamento; -
90000000491; Sem lancamento; -
110000000276; 174899; 174853.16
180000000312; 5200; 5200
100000001092; Sem prestacao; Sem prestacao
190000001935; Sem prestacao; Sem prestacao
250000000640; 14765; 14747.69
90000001055; 1000; 1000
210000000681; 9150; 9150
130000001021; 291637.04; 291637.06
250000000792; 51984.4; 48621.52
190000002838; 216799; 216785.9
240000000326; Sem prestacao; Sem prestacao
50000001085; 2172; 2172
130000000494; 8260; 4198.64
170000000596; Sem lancamento; -
190000000134; 1300; 1300
130000000877; Sem prestacao; Sem prestacao
30000000048; 3000; 3000
270000000022; Sem lancamento; -
260000000224; Sem prestacao; Sem prestacao
120000000186; 12700; 12700
160000000095; 60651.5; 60534.32
120000000053; 16345.5; 16345.5
250000000218; Sem prestacao; Sem prestacao
170000000180; Sem lancamento; -
170000000128; 17763.56; 17763.56
130000000225; 75; 75
190000002061; 24572.5; 24572.5
160000000827; 92051.64; 92040.27
230000000411; 271032.01; 270535.75
90000001074; 1000; 1000
190000003011; 39714.65; 39714.65
190000000870; 3009.5; 3008.5
110000000138; 16716.78; 16716.78
140000000450; 402.43; 402.43
270000000130; 185800; 185800
140000000162; 1213.5; 1213.5
250000003682; 16660.71; 16660.71
100000000750; 4083; 4083
130000001773; 800; 800
250000003305; 455; 455
180000000254; 38396.07; 38396.07
70000000010; 109669.94; 109646.77
230000000541; 7050; 7050
70000000576; 9388; 9338
100000000250; Sem lancamento; -
270000000068; 862; 862
60000000588; 50; 50
130000000582; 1149298.24; 1149298.3
190000000635; Sem prestacao; Sem prestacao
190000002426; 10687.5; 10687.5
190000001108; 9480.5; 9480.5
200000000318; Sem lancamento; -
140000000446; 1272.43; 1272.43
100000000650; 5039.1; 5039.1
110000000139; 22996.73; 22996.73
110000000198; 822335.9; 822311.01
190000000017; 118822; 118805.93
190000001668; 13250; 13219.43
160000001027; Sem lancamento; -
160000000199; 196500; 196500
80000000253; 7800.95; 7801.35
210000000132; 15657; 15657
250000001587; 25242.3; 25242.3
220000000210; 211782; 211753.4
250000001232; 4182.67; 4182.67
250000002614; 39141.91; 39141.91
250000001689; 2421.84; 2414.44
250000003377; 58185.5; 59274.5
210000000438; 1525.06; 1525.06
30000000130; 6889.5; 6889.5
50000001157; Sem lancamento; 1169.08
90000000728; 2425015; 2685369.64
270000000244; 6439.72; 6439.72
80000000560; 887.51; 887.51
160000001129; 2422.79; 2422.79
90000001151; 11040.4; 11040.4
140000000174; 2148.5; 2148.5
30000000222; 2505; 2505
240000000655; 100; 100
120000000160; 3339.9; 3339.9
160000000107; 60600; 60600
70000001138; 11842.83; 11841.13
190000001512; 2617.5; 2617.5
270000000273; 1500; 1500
100000000514; 83200; 83200
60000000910; Sem lancamento; -
80000000754; Sem prestacao; Sem prestacao
250000002965; 120; 120
140000000592; Sem lancamento; -
220000000516; 6050; 6050
190000000274; 452.5; 452.5
160000001143; 16684.64; 16684.64
190000000164; 1872.8; 1872.8
190000001801; Sem lancamento; -
260000000092; Sem lancamento; -
100000001001; Sem lancamento; -
190000001990; Sem lancamento; -
250000002475; 11650; 11151.9
190000002936; 1718; 1718
10000000240; 298943.89; 298893.89
70000000192; 1786; 1786
90000000624; Sem prestacao; Sem prestacao
20000000171; 2400; 2400
50000000037; 250; 250
190000001014; 1155; 1155
90000000657; 678793.14; 678793.14
250000000063; 50620.02; 49639.79
190000002642; Sem lancamento; -
80000000305; 650352.26; 650352.26
100000000501; 224520; 224520
130000001064; 22865; 22865
250000001314; 4428; 4428
210000000277; 6056.55; 6056.55
220000000085; 218359.1; 218266.97
30000000417; 900; 900
170000000531; 55635.85; 55635.85
160000000821; 3650.64; 3643.04
160000000148; 347442.35; 347419.94
190000002380; 1718; 1718
190000000830; Sem lancamento; -
250000002007; 12044.9; 12044.9
110000000325; 2965.71; 2965.71
170000000641; Sem lancamento; -
90000000436; 3134; 3134
120000000576; 17770; 17748.4
40000000210; 6300.1; 6300.1
80000000510; 225355.49; 225341.27
250000001462; 2989105.81; 2989105.81
220000000581; 10500; 10500
100000000717; 526800; 526800
140000001124; Sem lancamento; -
170000000477; 3903.8; 3903.8
250000000738; 193026.95; 192755.71
60000000303; 788.4; 787.25
190000002460; 13009.25; 13009.25
250000001760; 1510; 1510
130000001502; 2740; 2740
250000002849; 500; 500
40000000717; 705.3; 705.3
60000000620; 6074.06; 6074.06
40000000111; 31448.4; 31451.75
20000000470; Sem lancamento; -
180000000441; 14745.9; 14745.9
100000000386; 27962.85; 27962.85
250000000964; 73622.7; 73621.5
40000000267; 1387.5; 1387.5
30000000055; Sem prestacao; Sem prestacao
250000002114; 28991.09; 28991.09
250000003563; Sem lancamento; -
70000000893; 67299.63; 67299.63
250000001349; Sem prestacao; Sem prestacao
250000002480; 5643.41; 5643.41
250000001262; 4660; 4658.4
250000003750; 366.45; 366.45
110000000378; 238000; 238000
170000000270; Sem prestacao; Sem prestacao
100000000565; 4683; 4683
210000001068; 22948.15; 22942.67
250000003080; 15704.7; 15704.7
40000000089; 487486.83; 487436.52
140000000353; 4237; 3913
190000002551; 4126.6; 4126.6
180000000245; 4920.03; 4920.03
190000001791; Sem lancamento; 261.9
