Sequencial; Receitas
10000000035; 2273.3
10000000119; 69821.3
10000000120; 127518
10000000121; 146098
10000000122; 122556.61
10000000123; 28562.5
10000000124; 119616.26
10000000125; 123426
10000000126; 2600
10000000127; Sem lancamento
10000000128; 10522.5
10000000129; 13190.5
10000000130; 16306
10000000131; 18649.9
10000000132; Sem lancamento
10000000133; 2100
10000000134; 27065.5
10000000150; Sem prestacao
10000000151; Sem prestacao
10000000152; 194338.24
10000000230; 23588.5
10000000231; 10600
10000000232; 800
10000000233; 25828.89
10000000234; 28252.73
10000000235; Sem prestacao
10000000236; Sem lancamento
10000000237; Sem lancamento
10000000238; Sem prestacao
10000000239; Sem lancamento
10000000240; 298943.89
10000000241; Sem prestacao
10000000242; Sem prestacao
10000000243; Sem prestacao
10000000244; 32137.46
10000000245; Sem lancamento
10000000246; Sem lancamento
10000000248; 29152
10000000249; 2000
10000000250; Sem lancamento
10000000251; 36035
10000000252; Sem prestacao
10000000253; Sem lancamento
10000000254; Sem prestacao
10000000255; Sem prestacao
10000000256; Sem prestacao
10000000257; Sem lancamento
10000000258; 500
10000000259; Sem lancamento
10000000261; Sem lancamento
10000000262; Sem prestacao
10000000212; 900
10000000213; 142535.15
10000000214; 20.3
10000000215; Sem lancamento
10000000216; Sem lancamento
10000000228; 24158.89
10000000229; 43586.89
10000000114; 63815
10000000115; 7315
10000000117; 7333.4
10000000135; 1580
10000000136; 2080
10000000137; 3180
10000000138; 3340
10000000139; 1580
10000000140; Sem prestacao
10000000141; 8460
10000000142; 3180
10000000143; 1580
10000000144; 1680
10000000145; 1598.4
10000000146; 8550
10000000147; 2130
10000000148; 3249.6
10000000149; 1598.4
10000000364; 26895
10000000365; 530.08
10000000367; 1520
10000000368; 200180
10000000369; 3754
10000000370; 4517.76
10000000371; 2286
10000000372; 749
10000000373; 2290
10000000374; 749
10000000375; 3913
10000000376; 14169.4
10000000377; 1815
10000000378; 790
10000000379; 790
10000000380; 6620
10000000381; Sem prestacao
10000000382; 667.8
10000000383; 3213
10000000384; 5840
10000000385; Sem lancamento
10000000386; 7540
10000000387; 5961
10000000388; 9079
10000000389; 34260
10000000390; 495
10000000391; Sem lancamento
10000000392; Sem lancamento
10000000393; 911
10000000394; 4413
10000000395; 90
10000000396; 29875
10000000397; 1831
10000000398; 44265
10000000399; 3911
10000000400; 913
10000000401; 746
10000000286; 2087.3
10000000287; 1891.1
10000000288; 11097.3
10000000289; 2087.3
10000000291; 2087.3
10000000292; 1097.3
10000000293; 2087.3
10000000294; 5700
10000000295; 6777.3
10000000296; 2087.3
10000000297; 2787.3
10000000298; 2087.3
10000000299; 10187.3
10000000300; 16087.3
10000000301; 16593.94
10000000303; 26487.3
10000000304; 2087.3
10000000305; 2087.3
10000000267; 15620.5
10000000268; 6715.82
10000000269; 84498.7
10000000270; 6371.6
10000000271; 6371.6
10000000272; 38832.5
10000000273; 6600
10000000274; 6752.2
10000000275; 34800
10000000276; 6371.6
10000000277; 6857.84
10000000278; 6371.6
10000000279; 6600
10000000280; 39060
10000000281; 7640
10000000282; 46161.35
10000000283; 7886.57
10000000284; 24515
10000000285; 6531.2
10000000306; 110423.73
10000000307; 9951.8
10000000308; 2087.3
10000000309; 2087.3
10000000311; 54097.3
10000000312; Sem prestacao
10000000313; 2087.3
10000000222; Sem prestacao
10000000223; 25761.49
10000000224; 31442.89
10000000225; 7700
10000000226; 27251.09
10000000227; 70148.39
10000000181; 493141.51
10000000182; 89162.5
10000000183; 245438.82
10000000184; 498301.07
10000000185; 222178.5
10000000186; 10466.75
10000000187; 23803
10000000188; 183753.9
10000000189; 71285
10000000190; Sem prestacao
10000000191; 31058.15
10000000192; 13219
10000000193; Sem lancamento
10000000194; Sem prestacao
10000000196; 93869.65
10000000197; 79306.75
10000000198; 89310
10000000199; 10000
10000000200; Sem lancamento
10000000201; Sem lancamento
10000000202; 164666.25
10000000204; Sem lancamento
10000000205; Sem lancamento
10000000206; 106605
10000000207; 47400
10000000208; 19520
10000000209; 214088.5
10000000210; 104900
10000000211; Sem lancamento
10000000349; 52319.07
10000000350; 173254
10000000351; 164
10000000352; Sem prestacao
10000000353; Sem prestacao
10000000355; 2000
10000000356; 1139.69
10000000357; 2403.69
10000000358; 19301.8
10000000359; 2639.69
10000000360; 293.69
10000000361; 1301.69
10000000362; 4137.69
10000000363; 7030
10000000420; 4018.4
10000000421; Sem prestacao
10000000422; 9710
10000000423; Sem prestacao
10000000424; Sem prestacao
10000000425; Sem prestacao
10000000426; Sem prestacao
10000000427; Sem prestacao
10000000428; Sem lancamento
10000000429; Sem lancamento
10000000430; 57100
10000000431; Sem lancamento
10000000432; Sem lancamento
10000000433; Sem lancamento
10000000434; Sem prestacao
10000000435; Sem prestacao
10000000436; Sem lancamento
10000000437; Sem prestacao
10000000438; Sem lancamento
10000000515; Sem lancamento
10000000516; Sem prestacao
10000000517; 99.9
10000000518; 99.9
10000000519; Sem lancamento
10000000520; 5190.5
10000000521; Sem lancamento
10000000522; Sem lancamento
10000000523; Sem lancamento
10000000524; Sem lancamento
10000000525; 500
10000000526; 12000
10000000527; Sem lancamento
10000000529; Sem lancamento
10000000530; 18000
10000000531; 3666.5
10000000532; 66758
10000000533; 492
10000000534; Sem lancamento
10000000535; 550
10000000536; 54511.72
10000000537; 84408.72
10000000538; 20947.73
10000000539; Sem prestacao
10000000540; Sem prestacao
10000000541; Sem lancamento
10000000542; 23142
10000000543; 7391
10000000544; 10891
10000000545; 6471
10000000546; 7571
10000000547; Sem lancamento
10000000548; 10471
10000000549; Sem lancamento
10000000550; Sem prestacao
10000000551; 5921
10000000552; Sem prestacao
10000000439; Sem prestacao
10000000440; Sem prestacao
10000000441; Sem prestacao
10000000442; Sem lancamento
10000000443; 9102.5
10000000444; Sem lancamento
10000000445; Sem lancamento
10000000446; 1500
10000000447; Sem lancamento
10000000448; Sem lancamento
10000000449; Sem lancamento
10000000450; 6724.81
10000000451; Sem lancamento
10000000452; Sem lancamento
10000000453; Sem lancamento
10000000454; Sem lancamento
10000000455; 392.31
10000000456; 35960.72
10000000457; 24596.85
10000000458; Sem lancamento
10000000459; 34000
10000000460; 23629.21
10000000461; 50826.71
10000000462; 39346.71
10000000463; 105014.92
10000000464; 40202.5
10000000465; 23481.71
10000000466; 41630
10000000467; Sem lancamento
10000000468; Sem lancamento
10000000469; 15326.71
10000000470; 170106.71
10000000471; 150032.91
10000000314; 30772.3
10000000315; 2087.3
10000000316; 2087.3
10000000317; 2087.3
10000000318; Sem lancamento
10000000319; Sem lancamento
10000000320; Sem lancamento
10000000321; Sem lancamento
10000000322; Sem lancamento
10000000323; Sem lancamento
10000000324; Sem lancamento
10000000325; Sem lancamento
10000000326; 746
10000000327; 1023.06
10000000328; Sem lancamento
10000000329; 67563
10000000330; 7386
10000000331; 919.5
10000000332; 8160
10000000333; 913
10000000334; 1077
10000000335; 2577
10000000336; 5985
10000000337; 749
10000000338; 1074
10000000339; 1669
10000000340; 4075
10000000341; 7749
10000000342; 786
10000000343; 749
10000000344; 913
10000000345; 90
10000000346; 3913
10000000347; 16447.07
10000000348; 10780
10000000472; Sem lancamento
10000000473; Sem lancamento
10000000474; 11789.36
10000000475; 42710.76
10000000476; 17937.17
10000000478; 10319.77
10000000479; 490.5
10000000480; 14503.56
10000000481; 12235.5
10000000482; 29029.3
10000000483; 16840
10000000484; 33219.46
10000000485; 42889.69
10000000486; 10941.74
10000000487; Sem prestacao
10000000488; 17023.53
10000000491; 10373.29
10000000492; 12912.5
10000000493; 20505.67
10000000495; 9999.66
10000000497; 49712.8
10000000498; Sem prestacao
10000000499; 5190.5
10000000500; Sem lancamento
10000000501; 99.9
10000000502; 7299.6
10000000503; 5190.5
10000000504; 2190.5
10000000505; Sem prestacao
10000000506; 12099.9
10000000507; 99.9
10000000508; Sem prestacao
10000000509; Sem prestacao
10000000510; 9490.5
10000000511; Sem prestacao
10000000512; Sem lancamento
10000000513; 99.9
10000000605; 547006.36
10000000701; 4087.3
10000000366; 3550
10000000354; Sem prestacao
10000000528; 1250
10000000290; 2087.3
10000000721; 1580
10000000741; 315
10000000086; 23707.5
10000000553; 8171
10000000554; 8371
10000000555; Sem lancamento
10000000556; Sem lancamento
10000000557; Sem lancamento
10000000558; 13000
10000000559; 17464
10000000560; 1798.99
10000000561; 40379.32
10000000562; 1199
10000000563; Sem prestacao
10000000564; 1998.4
10000000565; 7849.9
10000000566; 4199
10000000567; Sem prestacao
10000000568; Sem prestacao
10000000569; 2899.3
10000000570; 28339.47
10000000514; 6500
10000000402; 86030
10000000403; Sem lancamento
10000000404; 90
10000000405; 331
10000000406; Sem prestacao
10000000407; 124034
10000000408; 187313.89
10000000409; 1000
10000000410; Sem lancamento
10000000411; 116059.3
10000000412; Sem lancamento
10000000413; Sem prestacao
10000000414; 2884.61
10000000415; Sem prestacao
10000000416; Sem prestacao
10000000417; 2884.61
10000000418; Sem prestacao
10000000419; Sem prestacao
10000000118; Sem prestacao
10000000088; 157.5
10000000089; 7315
10000000110; 2315
10000000609; 43483.43
10000000610; 15797.2
10000000611; 3199
10000000612; 5400
10000000613; 660588.5
10000000614; 630300
10000000615; 296350
10000000616; 676832.03
10000000617; 86695
10000000618; 47000
10000000619; 5058
10000000620; 78308
10000000621; Sem lancamento
10000000622; 3467.4
10000000623; 24120.2
10000000624; 100000
10000000625; 175000
10000000203; Sem lancamento
10000000302; 2087.3
10000000260; Sem prestacao
10000000641; 26667
10000000247; 32255
10000000494; 21229.97
10000000489; 34769.53
10000000477; 13933.5
10000000490; 20611
10000000496; 6581.5
10000000310; 12107.3
10000000661; Sem prestacao
10000000195; Sem lancamento
10000000263; Sem lancamento
10000000116; 315
10000000571; 1755
10000000572; 6032
10000000573; 147594.86
10000000574; Sem lancamento
10000000575; Sem prestacao
10000000576; 3065.8
10000000577; 22925.13
10000000578; 6898.39
10000000579; 33966.5
10000000580; 3199
10000000581; 299.9
10000000582; 6481.6
10000000583; 29298.9
10000000584; 322248
10000000585; Sem prestacao
10000000586; Sem lancamento
10000000587; Sem lancamento
10000000588; 990
10000000589; 2000
10000000590; 127426
10000000591; 700
10000000592; Sem lancamento
10000000593; Sem lancamento
10000000594; Sem lancamento
10000000595; Sem lancamento
10000000596; Sem lancamento
10000000597; Sem lancamento
10000000598; Sem lancamento
10000000599; Sem prestacao
10000000600; Sem prestacao
10000000601; 8471
10000000602; 17717.5
10000000603; 13207.8
10000000604; Sem lancamento
10000000606; Sem lancamento
10000000607; 125638.29
10000000608; 32564
20000000023; 2750.4
20000000024; 110
20000000025; Sem lancamento
20000000038; Sem lancamento
20000000039; Sem prestacao
20000000040; 1500
20000000042; Sem prestacao
20000000043; 362655
20000000044; 227150
20000000045; 42000
20000000046; 51636.04
20000000047; 10200
20000000048; Sem prestacao
20000000049; Sem lancamento
20000000050; 3500
20000000051; Sem lancamento
20000000052; 4523
20000000053; 1400
20000000054; 43684
20000000002; Sem lancamento
20000000003; Sem prestacao
20000000055; Sem lancamento
20000000056; 2550
20000000057; Sem prestacao
20000000058; Sem lancamento
20000000059; 1500
20000000061; 37556.09
20000000062; 274375
20000000063; 240375
20000000064; 214730
20000000065; 5211.79
20000000066; 30100
20000000067; Sem prestacao
20000000068; 4500
20000000069; Sem prestacao
20000000070; 300
20000000071; 1710
20000000072; Sem lancamento
20000000073; 384405
20000000074; Sem prestacao
20000000075; 680
20000000076; Sem prestacao
20000000078; Sem lancamento
20000000079; Sem lancamento
20000000080; 12851.36
20000000081; Sem lancamento
20000000082; 9800
20000000083; 800
20000000084; 6014.8
20000000085; 1000
20000000086; 1000
20000000087; 5880
20000000088; 169100
20000000089; 2750
20000000090; 1500
20000000091; 204706.82
20000000026; 16690
20000000027; Sem prestacao
20000000028; 11775.6
20000000029; Sem lancamento
20000000030; Sem prestacao
20000000031; Sem prestacao
20000000032; 16500
20000000033; Sem prestacao
20000000034; 275
20000000035; Sem prestacao
20000000036; Sem lancamento
20000000037; Sem prestacao
20000000092; 16658.4
20000000093; 2820
20000000094; 6305
20000000095; 1000
20000000096; 5320
20000000097; 1000
20000000004; 38986
20000000005; 650.1
20000000006; 500
20000000007; Sem lancamento
20000000008; Sem lancamento
20000000009; 1177
20000000010; 500
20000000013; Sem prestacao
20000000014; 5500
20000000015; 5340
20000000016; 1719
20000000017; 580
20000000018; 11852.48
20000000019; 17745.01
20000000020; Sem prestacao
20000000021; Sem prestacao
20000000022; Sem lancamento
20000000098; 9000
20000000099; 5410
20000000100; 7363742.8
20000000101; 458329.08
20000000102; Sem prestacao
20000000103; Sem prestacao
20000000104; Sem prestacao
20000000105; 183340.66
20000000106; 190.65
20000000107; 116837.92
20000000108; 177.94
20000000109; 540.65
20000000110; 571.94
20000000111; 660
20000000112; Sem prestacao
20000000113; 20807.42
20000000115; 107815.16
20000000116; Sem lancamento
20000000192; 8762.58
20000000193; 5150
20000000202; 16883098.55
20000000203; Sem prestacao
20000000216; Sem lancamento
20000000217; 16273.33
20000000218; 13023.33
20000000219; 26473.33
20000000220; Sem prestacao
20000000221; 22273.33
20000000222; 479975
20000000223; 36890.91
20000000224; 12773.33
20000000225; 340600
20000000226; 16933.33
20000000227; 12773.33
20000000228; 11473.33
20000000229; 17073.33
20000000230; 590900
20000000231; 20373.41
20000000232; 431786
20000000233; 22500
20000000234; Sem prestacao
20000000235; Sem prestacao
20000000236; Sem prestacao
20000000238; Sem prestacao
20000000239; 300152
20000000240; 382550
20000000241; 4372
20000000243; 1924
20000000244; 335099.78
20000000245; 1111516.5
20000000246; 4500
20000000247; 3000
20000000248; Sem prestacao
20000000195; 2400
20000000197; 2993.88
20000000198; 2400
20000000199; 2070569.34
20000000200; Sem prestacao
20000000201; Sem prestacao
20000000204; 294117.66
20000000205; 379730.42
20000000206; 505823.75
20000000207; 60700
20000000209; Sem prestacao
20000000210; 734854.02
20000000211; 95730
20000000212; 255915.46
20000000213; 4200
20000000214; 882485.28
20000000215; Sem prestacao
20000000117; 33249.87
20000000118; 2400
20000000119; 737.16
20000000120; Sem lancamento
20000000121; 521.1
20000000122; 559.23
20000000123; Sem lancamento
20000000124; Sem lancamento
20000000125; Sem prestacao
20000000126; 6893.8
20000000127; 1031827.59
20000000128; 116555.44
20000000129; Sem lancamento
20000000130; 31345.7
20000000131; 1350.46
20000000133; 1420
20000000134; 1020
20000000135; 1020
20000000136; 2654.26
20000000137; 6466.96
20000000138; 2163.88
20000000139; Sem prestacao
20000000140; Sem lancamento
20000000141; 2237.62
20000000142; Sem lancamento
20000000143; 2850.2
20000000144; 258740
20000000145; Sem prestacao
20000000146; Sem lancamento
20000000147; Sem prestacao
20000000148; 1020
20000000149; Sem prestacao
20000000150; 206355.25
20000000151; Sem prestacao
20000000152; 54776.49
20000000154; 2961.16
20000000155; 2224
20000000156; 421880
20000000157; 14248.24
20000000158; 1200
20000000159; 4308.94
20000000160; 32349.84
20000000161; 5117.62
20000000162; Sem lancamento
20000000163; Sem prestacao
